,id,age,gender,gender_predicted_value,location,profile_img_url
94,1178459356934725632,-1.0,no_face,-1.0,"California, USA",http://pbs.twimg.com/profile_images/1148472239982952448/iMW7KMZP.jpg
95,1178459356964081664,-1.0,no_face,-1.0,"Northern California, USA",http://pbs.twimg.com/profile_images/787391413604409344/W3-0RoDl.jpg
96,1178459393467174912,-1.0,no_face,-1.0,Tycho Station,http://pbs.twimg.com/profile_images/1236734900721668098/KzGEez0m.jpg
97,1178459402342408194,26.507764977832267,m,0.1304710954427719,"Cornwall, Ontario",http://pbs.twimg.com/profile_images/1243009579102998529/ziGbWWLQ.jpg
98,1178459422172962818,22.766332209314896,m,0.08024737983942032,,http://pbs.twimg.com/profile_images/1246511232623898624/dhVJCpsV.jpg
99,1178459434072207360,-1.0,no_face,-1.0,"Ontario, Canada",http://abs.twimg.com/sticky/default_profile_images/default_profile.png
100,1178456938323034112,10.011355053915324,m,0.1429639756679535,"Nova Scotia, Canada",http://pbs.twimg.com/profile_images/1225120671111532545/65KjSnTo.jpg
101,1178456940499763200,-1.0,no_face,-1.0,"Los Angeles, CA",http://pbs.twimg.com/profile_images/1136814607778009088/XObXnzfP.png
102,1178456955385311232,-1.0,no_face,-1.0,"Alberta, Canada",http://pbs.twimg.com/profile_images/1255877495217287170/-6to_OKl.jpg
103,1178456960460566528,-1.0,no_face,-1.0,Somewhere Really Awful,http://pbs.twimg.com/profile_images/1132732389535436801/fgRBBrY7.jpg
104,1178456966756229121,-1.0,no_face,-1.0,,http://pbs.twimg.com/profile_images/1258511774799855618/W3zwc58t.jpg
105,1178456980077203456,42.700906149808134,m,0.012393924407660961,Australia,http://pbs.twimg.com/profile_images/1187572502861496320/yQNwEQe6.jpg
106,1178456986297479169,37.32702850230271,m,0.2958621084690094,"Miami, FL",http://pbs.twimg.com/profile_images/696075419456409600/UJaQJlsc.png
107,1178456998414884864,-1.0,no_face,-1.0,"Minneapolis, MN",http://pbs.twimg.com/profile_images/732721839110131712/ScLLGxds.jpg
108,1178456999064932352,43.09789265522886,m,0.02000662498176098,,http://pbs.twimg.com/profile_images/834175630459576320/45q1moFQ.jpg
109,1178457027024211968,35.34582277018899,m,0.055311400443315506,Europe ,http://pbs.twimg.com/profile_images/1194536366228377600/qTaMcqlZ.jpg
